Código,Nome,Estado,Latitude,Longitude
A422,ABROLHOS,BA,-17.96305555,-38.70333333
A434,AMARGOSA,BA,-13.00944444,-39.61694443
A429,BARRA,BA,-11.08472221,-43.13888888
A402,BARREIRAS,BA,-12.12472221,-45.02694443
A447,BELMONTE,BA,-16.08805555,-39.21527777
A433,BRUMADO,BA,-14.18194443,-41.67222221
A432,BURITIRAMA,BA,-10.72305554,-43.65111111
A405,CARAVELAS,BA,-17.73944444,-39.25861111
A431,CONDE,BA,-12.03583333,-37.68388888
A416,CORRENTINA,BA,-13.33249999,-44.61749999
A406,CRUZ DAS ALMAS,BA,-12.67555554,-39.08944444
A448,CURACA,BA,-9.00138888,-39.9125
A443,DELFINO,BA,-10.455,-41.20694444
A442,EUCLIDES DA CUNHA,BA,-10.53722221,-38.99666666
A413,FEIRA DE SANTANA,BA,-12.1961111,-38.96749999
A452,FORMOSA DO RIO PRETO,BA,-11.05222222,-45.20083333
A426,GUANAMBI,BA,-14.20805555,-42.74972221
A439,IBOTIRAMA,BA,-12.19305555,-43.21333333
A410,ILHEUS,BA,-14.65888888,-39.18138888
A445,IPIAU,BA,-14.17138888,-39.69249999
A424,IRECE,BA,-11.32888888,-41.86444444
A408,ITABERABA,BA,-12.52416666,-40.29972221
A455,ITAMARAJU,BA,-17.00694444,-39.55805555
A446,ITAPETINGA,BA,-15.24472221,-40.22944443
A407,ITIRUCU,BA,-13.52777777,-40.11972221
A440,JACOBINA,BA,-11.205,-40.465
A450,JEREMOABO,BA,-10.08083332,-38.34583333
A425,LENCOIS,BA,-12.55777777,-41.38888888
A404,LUIS EDUARDO MAGALHAES,BA,-12.08499999,-45.70527777
A412,MACAJUBA,BA,-12.13166666,-40.35416666
A438,MARAU,BA,-13.90694444,-38.97222221
A430,PIATA,BA,-13.15555555,-41.77416666
A427,PORTO SEGURO,BA,-16.38888888,-39.18249999
A436,QUEIMADAS,BA,-10.98472221,-39.61694443
A423,REMANSO,BA,-9.62555554,-42.07722221
A458,RIBEIRA DO AMPARO,BA,-11.05861111,-38.44416666
A401,SALVADOR,BA,-13.00555555,-38.50583333
A456,SALVADOR (RADIO FAROL),BA,-12.80833333,-38.49583333
A415,SANTA RITA DE CASSIA,BA,-11.00333333,-44.53638888
A428,SENHOR DO BONFIM,BA,-10.44305555,-40.14833333
A441,SERRINHA,BA,-11.66472222,-39.02305554
A437,UNA,BA,-15.28027777,-39.09138888
A444,VALENCA,BA,-13.3436111,-39.12666666
A414,VITORIA DA CONQUISTA,BA,-14.88638888,-40.80138888
